NUMBER OF ITERATIONS:10
POPULATION SIZE:100
NUMBER OF GENERATIONS:200
MUTATION PROBABILITY:0.01
CROSSING PROBABILITY:0.1
TOURNAMENT SIZE:5
GENERATION;BEST FITNESS;AVERAGE FITNESS; WORST FITNESS;
76;1875.33711303085;1874.48301875287;1873.30355522615;
77;1875.33711303085;1875.13375725038;1873.30355522615;
78;1875.33711303085;1598.8276714272;-1598.81971341591;
79;1875.33711303085;1750.21745643783;1458.27159105411;
80;1875.33711303085;1871.16645781108;1458.27159105411;
81;1875.33711303085;1875.33711303085;1875.33711303085;
82;1875.33711303085;1869.53251059414;1759.24506429664;
83;1875.33711303085;1753.55700666832;-2183.99976572002;
84;1875.33711303085;1858.2338271116;1661.54603904028;
85;1875.33711303085;1875.33711303085;1875.33711303085;
86;1875.33711303085;1875.33711303085;1875.33711303085;
87;1875.33711303085;1875.33711303085;1875.33711303085;
88;1875.33711303085;1849.22831782937;1585.23938857004;
89;1875.33711303085;1804.04733706759;1162.43935339828;
90;1875.33711303085;1868.20813543452;1162.43935339828;
91;1875.33711303085;1869.1586817691;1684.72102131794;
92;1875.33711303085;1840.59554476638;-1598.81971341591;
93;1875.33711303085;1749.74468483406;-2183.99976572002;
94;1875.33711303085;1792.048659877;1042.45258149243;
95;1875.33711303085;1867.00826771546;1042.45258149243;
96;1875.33711303085;1854.48383693201;1458.27159105411;
97;1875.33711303085;1741.74970195277;1104.14390062307;
98;1875.33711303085;1825.67382341719;1163.77341907769;
99;1875.33711303085;1875.33711303085;1875.33711303085;
100;1875.33711303085;1802.50112832515;1178.39031538451;
101;1875.33711303085;1875.33711303085;1875.33711303085;
102;1875.33711303085;1875.33711303085;1875.33711303085;
103;1875.33711303085;1849.71675168986;1448.33109068111;
104;1875.33711303085;1875.33711303085;1875.33711303085;
105;1875.33711303085;1750.48044773423;-114.812862688801;
106;1875.33711303085;1854.4840522406;1512.74678721623;
107;1875.33711303085;1875.33711303085;1875.33711303085;
108;1875.33711303085;1875.33711303085;1875.33711303085;
109;1875.33711303085;1875.33711303085;1875.33711303085;
110;1875.33711303085;1875.33711303085;1875.33711303085;
111;1875.33711303085;1846.93334425364;691.557249239324;
112;1875.33711303085;1860.71125243603;1309.703784683;
113;1875.35946283355;1837.28480921682;-1598.81971341591;
114;1875.35946283355;1620.77277012886;29.1827229097371;
115;1875.35946283355;1866.76132901423;1446.44733808816;
116;1875.35946283355;1776.90315957975;469.010064856953;
117;1875.35946283355;1875.3565573592;1875.33711303085;
118;1875.35946283355;1875.35834534341;1875.33711303085;
119;1875.35946283355;1865.48817552735;1734.341072745;
120;1875.35946283355;1873.94927893266;1734.341072745;
121;1875.35946283355;1793.86615913192;1446.44733808816;
122;1875.35946283355;1788.93645681245;1011.12940262255;
123;1875.35946283355;1862.99282646241;1566.19355355514;
124;1875.35946283355;1868.38162496729;1177.57567620747;
125;1875.35946283355;1770.63278769799;-2102.34865594316;
126;1875.35946283355;1875.35946283355;1875.35946283355;
127;1875.35946283355;1875.35946283355;1875.35946283355;
128;1875.35946283355;1875.35946283355;1875.35946283355;
129;1875.35946283355;1756.61375059514;-1122.41773772569;
130;1875.35946283355;1858.34525708192;1684.74337112064;
131;1875.35946283355;1875.35946283355;1875.35946283355;
132;1877.2061672161;1875.4745435163;1872.09389604813;
133;1877.2061672161;1780.44566299939;1495.46554529181;
134;1877.2061672161;1868.22326057835;1495.46554529181;
135;1877.2061672161;1873.00095307652;1495.46554529181;
136;1877.2061672161;1572.87282492758;-0.672176145142203;
137;1877.2061672161;1877.20616721609;1877.2061672161;
138;1877.2061672161;1799.58258220968;1289.31032223401;
139;1877.2061672161;1871.32720876627;1289.31032223401;
140;1877.2061672161;1816.52550815949;364.293491107655;
141;1877.2061672161;1871.38583318577;1295.17276418396;
142;1877.2061672161;1867.51565325666;908.154771272726;
143;1877.2061672161;1814.23526292759;1247.49712433102;
144;1877.2061672161;1877.20616721609;1877.2061672161;
145;1877.2061672161;1505.99669412269;-82.8899659765266;
146;1915.22150840588;1858.85555632106;-71.9009458565874;
147;1915.22150840588;1882.14816157077;1877.2061672161;
148;2012.3567038484;1927.38097405132;1877.2061672161;
149;2012.3567038484;1907.01978683707;-1953.88487161797;
150;2012.3567038484;1866.87158583162;-1953.88487161797;
151;2012.3567038484;1974.19921880311;1877.2061672161;
152;2012.3567038484;2011.20772210546;1897.4585295546;
153;2012.3567038484;1857.37175954594;856.753567751024;
154;2012.3567038484;2007.78542781804;1859.98083616976;
155;2012.3567038484;2012.3567038484;2012.3567038484;
156;2012.3567038484;2006.09031782008;1385.71810101574;
157;2012.3567038484;2012.3567038484;2012.3567038484;
158;2012.3567038484;1966.53176768422;1595.76637508309;
159;2012.3567038484;1988.78349532089;1745.4568162044;
